book_id_raw,title,authors,language_code,image_url,small_image_url,description,text,book_idx
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,"The Hunger Games (The Hunger Games, #1) by Suzanne Collins","The Hunger Games (The Hunger Games, #1) — by Suzanne Collins — The Hunger Games (The Hunger Games, #1) by Suzanne Collins",0
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling, Mary GrandPré",1
3,"Twilight (Twilight, #1)",Stephenie Meyer,en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,"Twilight (Twilight, #1) by Stephenie Meyer","Twilight (Twilight, #1) — by Stephenie Meyer — Twilight (Twilight, #1) by Stephenie Meyer",2
4,To Kill a Mockingbird,Harper Lee,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,To Kill a Mockingbird by Harper Lee,To Kill a Mockingbird — by Harper Lee — To Kill a Mockingbird by Harper Lee,3
5,The Great Gatsby,F. Scott Fitzgerald,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,The Great Gatsby by F. Scott Fitzgerald,The Great Gatsby — by F. Scott Fitzgerald — The Great Gatsby by F. Scott Fitzgerald,4
6,The Fault in Our Stars,John Green,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,The Fault in Our Stars by John Green,The Fault in Our Stars — by John Green — The Fault in Our Stars by John Green,5
7,The Hobbit,J.R.R. Tolkien,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,The Hobbit by J.R.R. Tolkien,The Hobbit — by J.R.R. Tolkien — The Hobbit by J.R.R. Tolkien,6
8,The Catcher in the Rye,J.D. Salinger,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,The Catcher in the Rye by J.D. Salinger,The Catcher in the Rye — by J.D. Salinger — The Catcher in the Rye by J.D. Salinger,7
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,"Angels & Demons  (Robert Langdon, #1) by Dan Brown","Angels & Demons  (Robert Langdon, #1) — by Dan Brown — Angels & Demons  (Robert Langdon, #1) by Dan Brown",8
10,Pride and Prejudice,Jane Austen,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,Pride and Prejudice by Jane Austen,Pride and Prejudice — by Jane Austen — Pride and Prejudice by Jane Austen,9
11,The Kite Runner,Khaled Hosseini,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,The Kite Runner by Khaled Hosseini,The Kite Runner — by Khaled Hosseini — The Kite Runner by Khaled Hosseini,10
12,"Divergent (Divergent, #1)",Veronica Roth,eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,"Divergent (Divergent, #1) by Veronica Roth","Divergent (Divergent, #1) — by Veronica Roth — Divergent (Divergent, #1) by Veronica Roth",11
13,1984,"George Orwell, Erich Fromm, Celâl Üster",eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,"1984 by George Orwell, Erich Fromm, Celâl Üster","1984 — by George Orwell, Erich Fromm, Celâl Üster — 1984 by George Orwell, Erich Fromm, Celâl Üster",12
14,Animal Farm,George Orwell,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,Animal Farm by George Orwell,Animal Farm — by George Orwell — Animal Farm by George Orwell,13
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,"The Diary of a Young Girl by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","The Diary of a Young Girl — by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday — The Diary of a Young Girl by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",14
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,"The Girl with the Dragon Tattoo (Millennium, #1) by Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1) — by Stieg Larsson, Reg Keeland — The Girl with the Dragon Tattoo (Millennium, #1) by Stieg Larsson, Reg Keeland",15
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,"Catching Fire (The Hunger Games, #2) by Suzanne Collins","Catching Fire (The Hunger Games, #2) — by Suzanne Collins — Catching Fire (The Hunger Games, #2) by Suzanne Collins",16
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",eng,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) — by J.K. Rowling, Mary GrandPré, Rufus Beck — Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling, Mary GrandPré, Rufus Beck",17
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,eng,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,"The Fellowship of the Ring (The Lord of the Rings, #1) by J.R.R. Tolkien","The Fellowship of the Ring (The Lord of the Rings, #1) — by J.R.R. Tolkien — The Fellowship of the Ring (The Lord of the Rings, #1) by J.R.R. Tolkien",18
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,"Mockingjay (The Hunger Games, #3) by Suzanne Collins","Mockingjay (The Hunger Games, #3) — by Suzanne Collins — Mockingjay (The Hunger Games, #3) by Suzanne Collins",19
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",eng,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) by J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5) — by J.K. Rowling, Mary GrandPré — Harry Potter and the Order of the Phoenix (Harry Potter, #5) by J.K. Rowling, Mary GrandPré",20
22,The Lovely Bones,Alice Sebold,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,The Lovely Bones by Alice Sebold,The Lovely Bones — by Alice Sebold — The Lovely Bones by Alice Sebold,21
